iter	Passed	Remaining
0	0	953
1	2	1031
2	3	1008
3	4	1006
4	6	1239
5	8	1361
6	9	1336
7	10	1304
8	11	1313
9	13	1288
10	14	1331
11	15	1296
12	16	1266
13	17	1249
14	20	1334
15	21	1324
16	22	1317
17	25	1375
18	26	1360
19	27	1370
20	29	1360
21	30	1350
22	31	1334
23	32	1325
24	40	1566
25	42	1581
26	43	1558
27	44	1542
28	50	1678
29	51	1671
30	52	1653
31	53	1631
32	56	1653
33	57	1634
34	58	1617
35	59	1599
36	60	1583
37	61	1565
38	63	1565
39	64	1556
40	66	1547
41	67	1532
42	68	1518
43	69	1506
44	70	1494
45	71	1480
46	78	1588
47	79	1584
48	81	1578
49	82	1568
50	84	1564
51	85	1555
52	86	1547
53	87	1537
54	88	1525
55	89	1515
56	90	1504
57	92	1495
58	93	1486
59	94	1478
60	96	1480
61	97	1482
62	99	1474
63	103	1517
64	104	1509
65	106	1500
66	106	1489
67	109	1494
68	112	1513
69	113	1504
70	114	1495
71	115	1485
72	116	1475
73	118	1485
74	122	1514
75	123	1504
76	124	1494
77	125	1486
78	127	1491
79	129	1484
80	132	1505
81	133	1497
82	136	1506
83	137	1499
84	138	1492
85	139	1486
86	142	1497
87	143	1488
88	144	1481
89	145	1475
90	147	1469
91	152	1503
92	153	1498
93	154	1490
94	155	1483
95	156	1476
96	157	1470
97	158	1463
98	160	1459
99	161	1453
100	162	1446
101	163	1438
102	164	1431
103	165	1427
104	166	1421
105	168	1417
106	169	1411
107	170	1404
108	171	1401
109	179	1453
110	180	1448
111	181	1441
112	182	1434
113	183	1429
114	184	1422
115	190	1449
116	191	1443
117	192	1438
118	193	1431
119	194	1425
120	195	1421
121	196	1415
122	199	1419
123	200	1415
124	201	1409
125	202	1403
126	203	1401
127	204	1396
128	207	1399
129	208	1395
130	209	1389
131	210	1385
132	211	1379
133	212	1374
134	219	1404
135	220	1400
136	221	1395
137	222	1391
138	228	1415
139	232	1430
140	234	1426
141	235	1421
142	236	1417
143	237	1411
144	238	1407
145	240	1404
146	241	1399
147	242	1395
148	243	1392
149	245	1390
150	246	1385
151	247	1382
152	254	1407
153	255	1403
154	256	1398
155	264	1429
156	266	1429
157	267	1425
158	268	1420
159	270	1419
160	271	1414
161	272	1410
162	273	1406
163	277	1416
164	279	1412
165	280	1408
166	281	1406
167	283	1402
168	284	1399
169	285	1395
170	286	1390
171	288	1390
172	290	1386
173	291	1382
174	292	1380
175	293	1375
176	295	1372
177	296	1367
178	297	1363
179	298	1361
180	304	1377
181	306	1376
182	307	1371
183	308	1367
184	309	1364
185	311	1361
186	312	1357
187	313	1353
188	314	1349
189	315	1344
190	317	1346
191	319	1342
192	320	1338
193	321	1334
194	322	1330
195	328	1347
196	329	1343
197	337	1368
198	339	1364
199	340	1362
200	345	1372
201	347	1371
202	349	1371
203	350	1367
204	352	1366
205	357	1376
206	359	1378
207	361	1374
208	364	1380
209	365	1376
210	367	1374
211	369	1371
212	370	1368
213	371	1365
214	372	1361
215	373	1357
216	375	1353
217	376	1350
218	377	1346
219	378	1343
220	380	1339
221	381	1336
222	382	1333
223	384	1330
224	385	1326
225	386	1324
226	387	1320
227	388	1316
228	390	1316
229	392	1314
230	393	1310
231	395	1309
232	396	1305
233	397	1301
234	399	1300
235	400	1297
236	401	1293
237	403	1290
238	404	1287
239	406	1288
240	411	1295
241	412	1292
242	413	1288
243	414	1284
244	416	1282
245	417	1279
246	422	1286
247	423	1283
248	424	1279
249	425	1275
250	426	1272
251	427	1268
252	428	1265
253	432	1270
254	433	1266
255	434	1263
256	435	1259
257	436	1255
258	437	1251
259	438	1247
260	439	1244
261	443	1250
262	445	1247
263	446	1243
264	447	1240
265	448	1237
266	449	1234
267	450	1230
268	451	1227
269	453	1226
270	454	1223
271	455	1219
272	456	1216
273	457	1213
274	459	1210
275	459	1206
276	461	1205
277	463	1202
278	464	1199
279	465	1196
280	466	1193
281	467	1190
282	469	1190
283	471	1187
284	472	1184
285	473	1182
286	474	1178
287	475	1175
288	476	1172
289	477	1169
290	480	1171
291	481	1168
292	482	1165
293	483	1161
294	484	1158
295	486	1157
296	487	1154
297	488	1151
298	494	1159
299	495	1156
300	496	1153
301	497	1150
302	498	1147
303	499	1144
304	501	1142
305	502	1140
306	504	1137
307	505	1135
308	506	1132
309	507	1129
310	508	1126
311	509	1123
312	510	1120
313	512	1119
314	513	1117
315	514	1114
316	515	1111
317	516	1108
318	517	1105
319	518	1102
320	520	1100
321	524	1105
322	525	1102
323	527	1099
324	528	1097
325	529	1094
326	530	1092
327	531	1089
328	533	1088
329	534	1085
330	535	1082
331	536	1079
332	537	1077
333	541	1080
334	542	1077
335	544	1075
336	545	1072
337	546	1069
338	547	1066
339	548	1064
340	549	1061
341	550	1059
342	551	1057
343	552	1054
344	554	1051
345	555	1049
346	556	1046
347	557	1043
348	558	1041
349	562	1043
350	563	1041
351	564	1038
352	565	1036
353	566	1033
354	567	1031
355	568	1028
356	569	1025
357	570	1023
358	571	1020
359	572	1018
360	573	1015
361	574	1013
362	576	1010
363	577	1008
364	578	1005
365	579	1003
366	580	1001
367	581	999
368	582	996
369	583	994
370	584	991
371	585	988
372	586	986
373	587	984
374	589	981
375	590	980
376	591	978
377	593	975
378	594	973
379	595	971
380	596	968
381	597	966
382	598	964
383	601	965
384	603	963
385	605	962
386	607	961
387	608	959
388	609	956
389	610	954
390	612	953
391	613	950
392	614	948
393	615	946
394	616	943
395	617	941
396	618	939
397	619	936
398	620	934
399	621	932
400	622	930
401	623	927
402	624	925
403	625	923
404	626	920
405	627	918
406	629	916
407	630	914
408	631	912
409	632	910
410	633	907
411	634	905
412	635	903
413	636	900
414	637	898
415	638	896
416	639	893
417	640	891
418	642	890
419	643	888
420	644	886
421	645	883
422	646	881
423	647	879
424	648	877
425	649	875
426	650	872
427	651	870
428	652	868
429	653	866
430	654	864
431	655	862
432	656	860
433	658	858
434	659	855
435	660	853
436	661	851
437	662	849
438	663	847
439	664	845
440	665	843
441	666	841
442	667	839
443	668	837
444	669	834
445	670	832
446	671	830
447	673	830
448	674	828
449	675	826
450	676	824
451	677	821
452	678	819
453	680	817
454	681	815
455	682	813
456	683	811
457	684	810
458	685	807
459	686	805
460	687	803
461	688	801
462	689	799
463	689	796
464	690	794
465	691	792
466	692	790
467	693	788
468	694	786
469	695	784
470	696	782
471	698	781
472	699	779
473	700	777
474	701	774
475	701	772
476	702	770
477	703	768
478	704	766
479	705	764
480	706	762
481	707	760
482	708	758
483	709	756
484	710	754
485	711	752
486	712	750
487	713	748
488	714	746
489	715	744
490	716	742
491	717	740
492	718	738
493	719	736
494	720	734
495	720	732
496	721	730
497	722	728
498	723	726
499	724	724
500	725	722
501	726	720
502	727	718
503	728	716
504	729	714
505	730	713
506	731	711
507	732	709
508	733	707
509	734	705
510	734	703
511	735	701
512	736	699
513	738	698
514	739	696
515	740	694
516	741	692
517	742	690
518	743	688
519	744	686
520	744	684
521	745	682
522	746	680
523	747	679
524	748	677
525	749	675
526	750	673
527	751	671
528	752	669
529	753	667
530	754	666
531	754	664
532	755	662
533	756	660
534	757	658
535	758	656
536	759	655
537	760	653
538	761	651
539	762	649
540	763	647
541	764	645
542	765	644
543	766	642
544	767	640
545	767	638
546	768	636
547	770	635
548	771	633
549	771	631
550	772	629
551	773	627
552	774	626
553	775	624
554	776	622
555	777	620
556	777	618
557	778	616
558	779	615
559	781	613
560	782	612
561	783	610
562	784	608
563	784	606
564	785	605
565	786	603
566	787	601
567	788	599
568	789	597
569	790	596
570	791	594
571	792	593
572	793	591
573	794	589
574	796	588
575	797	586
576	797	584
577	798	583
578	799	581
579	800	579
580	801	577
581	802	576
582	803	574
583	805	573
584	806	572
585	807	570
586	808	568
587	809	567
588	810	565
589	811	563
590	811	561
591	813	560
592	814	558
593	815	557
594	816	555
595	817	553
596	818	552
597	818	550
598	819	548
599	820	547
600	821	545
601	822	543
602	823	542
603	824	540
604	825	538
605	826	537
606	827	535
607	828	533
608	828	532
609	829	530
610	830	528
611	831	527
612	832	525
613	833	524
614	835	522
615	836	521
616	836	519
617	837	517
618	838	516
619	839	514
620	840	512
621	841	511
622	842	509
623	842	507
624	843	506
625	844	504
626	846	503
627	847	501
628	847	500
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	853	490
635	854	488
636	855	487
637	856	485
638	857	484
639	858	482
640	858	481
641	859	479
642	860	477
643	861	476
644	862	474
645	863	473
646	864	471
647	865	469
648	866	468
649	867	466
650	868	465
651	869	463
652	870	462
653	871	461
654	872	459
655	873	458
656	874	456
657	875	454
658	876	453
659	877	452
660	878	450
661	879	449
662	880	447
663	881	445
664	882	444
665	883	442
666	883	441
667	884	439
668	885	438
669	886	436
670	887	435
671	889	433
672	890	432
673	891	431
674	892	429
675	893	428
676	894	426
677	895	425
678	896	423
679	897	422
680	898	420
681	899	419
682	900	418
683	901	416
684	902	415
685	903	413
686	904	412
687	905	410
688	906	409
689	907	407
690	909	406
691	910	405
692	911	403
693	912	402
694	913	400
695	914	399
696	915	397
697	916	396
698	917	394
699	918	393
700	919	392
701	920	390
702	921	389
703	922	387
704	923	386
705	924	385
706	925	383
707	926	382
708	927	380
709	928	379
710	929	377
711	930	376
712	931	374
713	932	373
714	933	372
715	934	370
716	935	369
717	936	367
718	937	366
719	938	364
720	939	363
721	940	361
722	941	360
723	942	359
724	943	357
725	944	356
726	944	354
727	945	353
728	946	351
729	947	350
730	948	349
731	949	347
732	950	346
733	951	344
734	952	343
735	953	341
736	954	340
737	955	339
738	956	337
739	956	336
740	957	334
741	958	333
742	959	331
743	960	330
744	961	329
745	962	327
746	963	326
747	964	324
748	965	323
749	966	322
750	967	320
751	968	319
752	968	317
753	969	316
754	970	314
755	971	313
756	972	312
757	973	310
758	974	309
759	975	308
760	976	306
761	977	305
762	978	303
763	979	302
764	980	301
765	980	299
766	981	298
767	982	296
768	983	295
769	984	294
770	985	292
771	986	291
772	987	289
773	988	288
774	989	287
775	990	285
776	990	284
777	991	283
778	992	281
779	993	280
780	994	278
781	995	277
782	996	276
783	997	274
784	998	273
785	999	272
786	1000	270
787	1001	269
788	1002	267
789	1002	266
790	1003	265
791	1004	263
792	1006	262
793	1007	261
794	1008	260
795	1009	258
796	1010	257
797	1011	256
798	1012	254
799	1013	253
800	1014	251
801	1015	250
802	1016	249
803	1017	248
804	1019	246
805	1020	245
806	1020	244
807	1021	242
808	1022	241
809	1023	240
810	1024	238
811	1025	237
